Brand,Color,Ratings,Ratings_reviews,Original_price,Selling_price,Ram,Rom,Discount,Model
Nothing,3) (Black,4.4,509 Ratings & 58 Reviews,"₹94,999","₹89,999",16 GB,512 GB,5% off,Nothing Phone
OPPO,Twilight Blue,4.7,164 Ratings & 47 Reviews,"₹49,999","₹45,999",8 GB,256 GB,8% off,OPPO Reno15
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
OPPO,Glacier White,4.7,164 Ratings & 47 Reviews,"₹49,999","₹45,999",8 GB,256 GB,8% off,OPPO Reno15
IQOO,Ultramarine,4.4,"8,664 Ratings & 443 Reviews","₹17,499","₹14,990",6 GB,128 GB,14% off,IQOO Z10X
Samsung,Amber Yellow,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
IQOO,Titanium,4.4,"8,664 Ratings & 443 Reviews","₹17,499","₹15,190",6 GB,128 GB,13% off,IQOO Z10X
Samsung,Mint,4.5,"74,852 Ratings & 4,753 Reviews","₹65,999","₹39,999",8 GB,256 GB,39% off,Samsung Galaxy
Samsung,Blue,4.5,"74,852 Ratings & 4,753 Reviews","₹65,999","₹39,999",8 GB,256 GB,39% off,Samsung Galaxy
Apple,Cosmic Orange,4.7,744 Ratings & 53 Reviews,,"₹1,34,900",,256 GB,,Apple iPhone
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
OnePlus,Dry Ice,4.5,"2,126 Ratings & 142 Reviews","₹34,999","₹32,868",8 GB,256 GB,6% off,OnePlus Nord
Infinix,Titanium Grey,4.4,"9,949 Ratings & 624 Reviews","₹19,999","₹17,999",6 GB,128 GB,10% off,Infinix Note
OnePlus,Phantom Grey,4.5,"1,515 Ratings & 116 Reviews","₹37,999","₹35,804",12 GB,256 GB,5% off,OnePlus Nord
OnePlus,Dry Ice,4.5,"1,515 Ratings & 116 Reviews","₹37,999","₹35,857",12 GB,256 GB,5% off,OnePlus Nord
realme,Steel Grey,4.4,"13,933 Ratings & 936 Reviews","₹23,999","₹20,999",8 GB,256 GB,12% off,realme P4
realme,Midnight Blue,4.4,"23,593 Ratings & 978 Reviews","₹17,999","₹13,999",8 GB,128 GB,22% off,realme P3x
Nothing,3) (White,4.4,509 Ratings & 58 Reviews,"₹94,999","₹89,999",16 GB,512 GB,5% off,Nothing Phone
Google,Indigo,4.5,"1,459 Ratings & 93 Reviews","₹79,999","₹74,999",12 GB,256 GB,6% off,Google Pixel
